country_match,country_llm,countries,time_of_day_iou,time_of_day_llm,time_of_day,type_of_dish_iou,type_of_dish_llm,type_of_dish,utensils_iou,utensils_llm,utensils,ingredients_iou,ingredients_intersect,ingredients_union
False,Egypt,Algeria,0.0,"['dinner', 'anytime']",['lunch'],0.0,['Main dish - eaten with sides'],['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Right Hand', 'Left Hand']",spoon,0.14285714285714285,"['chicken', 'cinnamon']","['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'lamb', 'onions', 'garlic', 'chili peppers', 'tomatoes', 'olive oil', 'salt', 'black pepper', 'cumin', 'coriander']"
False,Egypt,Algeria,0.5,"['lunch', 'dinner']",['lunch'],0.0,"['Main dish - eaten with sides', 'Small plate / bowl served as a part of a collection']",['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Right Hand']",spoon,0.14285714285714285,"['chicken', 'chickpeas']","['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'Barley', 'Meat', 'Onions', 'Garlic', 'Tomatoes', 'Paprika', 'Cumin', 'Coriander', 'Olive oil', 'Salt']"
False,Egypt,Algeria,0.0,"['dinner', 'anytime']",['lunch'],0.0,['Main dish - eaten with sides'],['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Right Hand', 'Left Hand']",spoon,0.07142857142857142,['Cinamon'],"['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'Dried dates', 'Almonds', 'Pistachios', 'Wheat flour', 'Butter', ""Confectioner's sugar"", 'Rose water', 'Orange blossom water', 'Ghee', 'Salt']"
False,Egypt,Algeria,0.5,"['lunch', 'dinner']",['lunch'],0.0,"['Main dish - eaten with sides', 'Small plate / bowl served as a part of a collection']",['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Other']",spoon,0.07142857142857142,['Cinnamon'],"['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'Semolina', 'Ghee', 'Sugar', 'Almonds', 'Pistachios', 'Rose water', 'Orange blossom water', 'Cardamom', 'Cinnamon', 'Coconut']"
False,Egypt,Algeria,0.0,"['dinner', 'other (please elaborate)']",['lunch'],0.5,"['Main dish - eaten with sides', 'Main dish - stand alone (e.g. one pot meal)']",['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Right Hand']",spoon,0.14285714285714285,"['chicken', 'cinamon']","['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'dates', 'almonds', 'honey', 'rose water', 'orange blossom water', 'ghee', 'wheat flour', 'semolina', 'pine nuts', 'cardamom']"
False,Egypt,Algeria,0.0,"['lunch', 'dinner']",['anytime'],0.0,"['Main dish - eaten with sides', 'Side dish']",['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Right Hand']",spoun,0.07692307692307693,['olive oil'],"['olive oil', 'couscous', 'sugar', 'lavender', 'lamb', 'onions', 'garlic', 'tomatoes', 'coriander', 'cumin', 'paprika', 'chili peppers', 'salt']"
False,Egypt,Algeria,0.0,"['breakfast', 'lunch']",['anytime'],0.0,"['Main dish - eaten with sides', 'Side dish']",['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Spoon']",spoun,0.14285714285714285,"['olive oil', 'lavender']","['olive oil', 'couscous', 'Sugar', 'lavender', 'Lamb', 'Onions', 'Garlic', 'Tomatoes', 'Ginger', 'Cumin', 'Coriander', 'Paprika', 'Salt', 'Black pepper']"
False,Egypt,Algeria,0.0,"['breakfast', 'snack']",['anytime'],0.0,"['Main dish - eaten with sides', 'Side dish']",['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Other']",spoun,0.07692307692307693,['olive oil'],"['olive oil', 'couscous', 'sugar', 'lavender', 'lamb', 'onions', 'garlic', 'tomatoes', 'cumin', 'coriander', 'paprika', 'chili peppers', 'flour']"
False,Egypt,Algeria,0.3333333333333333,"['breakfast', 'snack', 'anytime']",['anytime'],0.0,"['Main dish - eaten with sides', 'Side dish']",['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Right Hand']",spoun,0.07692307692307693,['olive oil'],"['olive oil', 'couscous', 'sugar', 'lavender', 'lamb', 'onions', 'garlic', 'chili peppers', 'tomatoes', 'cumin', 'coriander', 'paprika', 'salt']"
False,Egypt,Algeria,0.0,"['breakfast', 'lunch']",['anytime'],0.0,['Main dish - eaten with sides'],['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Spoon']",spoun,0.07692307692307693,['olive oil'],"['olive oil', 'couscous', 'Sugar', 'lavender', 'chickpeas', 'tomatoes', 'onions', 'garlic', 'cumin', 'coriander', 'paprika', 'salt', 'black pepper']"
