id,local_name,continent,seed,country_match,country_llm,countries,ingredients_intersect,ingredients,ingredients_llm,ingredients_union
748,Tli Tli B'djedj - تليتلي بالجاج,Africa,0,False,Egypt,Algeria,"['chicken', 'cinnamon']","chicken, tlitli, Chickpeas, cinamon","['lamb', 'onions', 'garlic', 'chili peppers', 'tomatoes', 'olive oil', 'salt', 'black pepper', 'cumin', 'coriander']","['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'lamb', 'onions', 'garlic', 'chili peppers', 'tomatoes', 'olive oil', 'salt', 'black pepper', 'cumin', 'coriander']"
748,Tli Tli B'djedj - تليتلي بالجاج,Africa,1,False,Egypt,Algeria,"['chicken', 'chickpeas']","chicken, tlitli, Chickpeas, cinamon","['Barley', 'Meat', 'Onions', 'Garlic', 'Tomatoes', 'Paprika', 'Cumin', 'Coriander', 'Olive oil', 'Salt']","['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'Barley', 'Meat', 'Onions', 'Garlic', 'Tomatoes', 'Paprika', 'Cumin', 'Coriander', 'Olive oil', 'Salt']"
748,Tli Tli B'djedj - تليتلي بالجاج,Africa,2,False,Egypt,Algeria,['Cinamon'],"chicken, tlitli, Chickpeas, cinamon","['Dried dates', 'Almonds', 'Pistachios', 'Wheat flour', 'Butter', ""Confectioner's sugar"", 'Rose water', 'Orange blossom water', 'Ghee', 'Salt']","['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'Dried dates', 'Almonds', 'Pistachios', 'Wheat flour', 'Butter', ""Confectioner's sugar"", 'Rose water', 'Orange blossom water', 'Ghee', 'Salt']"
748,Tli Tli B'djedj - تليتلي بالجاج,Africa,3,False,Egypt,Algeria,['Cinnamon'],"chicken, tlitli, Chickpeas, cinamon","['Semolina', 'Ghee', 'Sugar', 'Almonds', 'Pistachios', 'Rose water', 'Orange blossom water', 'Cardamom', 'Cinnamon', 'Coconut']","['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'Semolina', 'Ghee', 'Sugar', 'Almonds', 'Pistachios', 'Rose water', 'Orange blossom water', 'Cardamom', 'Cinnamon', 'Coconut']"
748,Tli Tli B'djedj - تليتلي بالجاج,Africa,4,False,Egypt,Algeria,"['chicken', 'cinamon']","chicken, tlitli, Chickpeas, cinamon","['dates', 'almonds', 'honey', 'rose water', 'orange blossom water', 'ghee', 'wheat flour', 'semolina', 'pine nuts', 'cardamom']","['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'dates', 'almonds', 'honey', 'rose water', 'orange blossom water', 'ghee', 'wheat flour', 'semolina', 'pine nuts', 'cardamom']"
745,طعام الحلحال - t3am 7al7al,Africa,0,False,Egypt,Algeria,['olive oil'],"olive oil, couscous, Sugar, lavender","['lamb', 'onions', 'garlic', 'tomatoes', 'olive oil', 'coriander', 'cumin', 'paprika', 'chili peppers', 'salt']","['olive oil', 'couscous', 'sugar', 'lavender', 'lamb', 'onions', 'garlic', 'tomatoes', 'coriander', 'cumin', 'paprika', 'chili peppers', 'salt']"
745,طعام الحلحال - t3am 7al7al,Africa,1,False,Egypt,Algeria,"['olive oil', 'lavender']","olive oil, couscous, Sugar, lavender","['Lamb', 'Onions', 'Garlic', 'Tomatoes', 'Ginger', 'Cumin', 'Coriander', 'Paprika', 'Salt', 'Black pepper']","['olive oil', 'couscous', 'Sugar', 'lavender', 'Lamb', 'Onions', 'Garlic', 'Tomatoes', 'Ginger', 'Cumin', 'Coriander', 'Paprika', 'Salt', 'Black pepper']"
745,طعام الحلحال - t3am 7al7al,Africa,2,False,Egypt,Algeria,['olive oil'],"olive oil, couscous, Sugar, lavender","['lamb', 'onions', 'garlic', 'tomatoes', 'cumin', 'coriander', 'paprika', 'chili peppers', 'olive oil', 'flour']","['olive oil', 'couscous', 'sugar', 'lavender', 'lamb', 'onions', 'garlic', 'tomatoes', 'cumin', 'coriander', 'paprika', 'chili peppers', 'flour']"
745,طعام الحلحال - t3am 7al7al,Africa,3,False,Egypt,Algeria,['olive oil'],"olive oil, couscous, Sugar, lavender","['lamb', 'onions', 'garlic', 'chili peppers', 'tomatoes', 'olive oil', 'cumin', 'coriander', 'paprika', 'salt']","['olive oil', 'couscous', 'sugar', 'lavender', 'lamb', 'onions', 'garlic', 'chili peppers', 'tomatoes', 'cumin', 'coriander', 'paprika', 'salt']"
745,طعام الحلحال - t3am 7al7al,Africa,4,False,Egypt,Algeria,['olive oil'],"olive oil, couscous, Sugar, lavender","['chickpeas', 'tomatoes', 'onions', 'garlic', 'olive oil', 'cumin', 'coriander', 'paprika', 'salt', 'black pepper']","['olive oil', 'couscous', 'Sugar', 'lavender', 'chickpeas', 'tomatoes', 'onions', 'garlic', 'cumin', 'coriander', 'paprika', 'salt', 'black pepper']"
899,khdawedj ala darbouz,Africa,0,False,Morocco,Algeria,[],"ghee, butter, chickpea, chicken, cinnamon, onions","[""I apologize, but I couldn't find any information on 'khdawedj ala darbouz' being a traditional Algerian dish. It's possible that it's a misspelling or a made-up name. If you meant to ask about a different dish, please let me know and I'll do my best to help.""]","['ghee', 'butter', 'chickpea', 'chicken', 'cinnamon', 'onions']"
899,khdawedj ala darbouz,Africa,1,False,Morocco,Algeria,[],"ghee, butter, chickpea, chicken, cinnamon, onions","[""I apologize, but I couldn't find any information on 'khdawedj ala darbouz' being a traditional Algerian dish. It's possible that it's a misspelling, a variation of a different dish, or a dish that is not well-known. If you can provide more context or clarify the name of the dish, I'd be happy to try and assist you. However, if you'd like to provide more information or clarify the name of the dish, I can try to help you with the ingredients.""]","['ghee', 'butter', 'chickpea', 'chicken', 'cinnamon', 'onions']"
